Tic, Customer ID, TXN, Amount($), Receiver ID
0,605291816,Deposit,939.274,
1,241087590,Withdraw,509.503,
1,870982877,Transfer,984.507,919937413
2,111714879,Transfer,475.616,870982877
2,919937413,Transfer,837.593,605291816
3,241087590,Withdraw,458.473,
4,919937413,Transfer,353.184,605291816
4,870982877,Transfer,152.353,111714879
6,919937413,Transfer,699.769,605291816
7,241087590,Deposit,784.802,
7,605291816,Transfer,782.366,111714879
8,241087590,Withdraw,40.504,
8,919937413,Withdraw,985.456,
8,605291816,Transfer,551.94,111714879
10,870982877,Withdraw,427.948,
10,605291816,Transfer,707.064,919937413
13,241087590,Deposit,906.738,
15,919937413,Transfer,908.857,870982877
15,605291816,Deposit,496.09,
16,111714879,Transfer,115.448,605291816
16,919937413,Withdraw,73.8645,
17,111714879,Withdraw,614.81,
18,111714879,Withdraw,890.433,
18,919937413,Deposit,446.879,
18,870982877,Deposit,652.9,
19,919937413,Transfer,483.385,111714879
20,111714879,Transfer,547.714,241087590
20,919937413,Withdraw,569.694,
21,241087590,Withdraw,972.248,
21,919937413,Deposit,6.41001,
21,605291816,Transfer,414.176,111714879
22,241087590,Deposit,9.39436,
23,111714879,Transfer,91.9496,870982877
23,241087590,Deposit,511.197,
23,605291816,Transfer,639.664,919937413
24,241087590,Deposit,462.211,
24,919937413,Transfer,10.375,605291816
25,870982877,Deposit,875.105,
26,605291816,Deposit,443.317,
27,241087590,Deposit,544.189,
28,241087590,Deposit,478.083,
29,111714879,Withdraw,658.497,
29,919937413,Deposit,172.127,
29,870982877,Withdraw,27.8315,
30,919937413,Withdraw,148.958,
32,241087590,Deposit,791.675,
33,241087590,Deposit,386.808,
33,919937413,Transfer,831.341,605291816
34,919937413,Withdraw,484.079,
35,241087590,Transfer,102.837,870982877
35,919937413,Transfer,788.184,111714879
35,605291816,Deposit,625.583,
36,919937413,Transfer,927.72,605291816
36,870982877,Deposit,205.291,
37,111714879,Withdraw,743.633,
37,919937413,Deposit,919.582,
37,605291816,Transfer,313.028,241087590
38,870982877,Deposit,622.122,
39,605291816,Withdraw,690.161,
40,111714879,Withdraw,185.377,
40,919937413,Withdraw,64.5228,
41,870982877,Withdraw,346.377,
