Tic, Customer ID, TXN, Amount($), Receiver ID
0,846930886,Transfer,513.40,1804289383
1,1714636915,Withdraw,16.30,
2,1804289383,Withdraw,108.81,
2,1681692777,Withdraw,998.92,
2,1957747793,Withdraw,218.26,
3,1681692777,Transfer,972.78,1714636915
5,1714636915,Deposit,526.00,
6,1804289383,Withdraw,20.02,
6,1957747793,Deposit,457.70,
7,1804289383,Transfer,760.25,846930886
7,1957747793,Transfer,667.72,1714636915
8,1804289383,Deposit,284.29,
9,1714636915,Withdraw,880.08,
10,846930886,Transfer,588.64,1681692777
12,1681692777,Transfer,641.08,846930886
13,846930886,Transfer,187.53,1804289383
14,1681692777,Withdraw,126.08,
14,1957747793,Withdraw,495.44,
16,1804289383,Transfer,793.47,846930886
16,1714636915,Transfer,745.07,1957747793
17,846930886,Deposit,797.80,
17,1714636915,Withdraw,732.65,
17,1957747793,Transfer,639.46,1804289383
18,1804289383,Deposit,204.66,
18,846930886,Withdraw,461.42,
18,1714636915,Deposit,819.68,
18,1957747793,Deposit,573.32,
19,1804289383,Deposit,125.47,
19,846930886,Withdraw,997.80,
19,1714636915,Transfer,870.54,1957747793
20,1804289383,Deposit,391.69,
20,1714636915,Withdraw,913.03,
20,1957747793,Withdraw,819.70,
21,1957747793,Deposit,530.81,
23,1804289383,Deposit,831.04,
25,1681692777,Deposit,629.48,
25,1957747793,Transfer,328.78,846930886
26,1804289383,Deposit,971.47,
26,1681692777,Transfer,546.11,1957747793
27,1804289383,Withdraw,336.35,
28,846930886,Deposit,233.89,
29,1957747793,Withdraw,621.82,
30,1681692777,Withdraw,627.16,
31,1681692777,Transfer,653.13,846930886
32,846930886,Deposit,686.12,
32,1681692777,Transfer,111.28,1804289383
33,1714636915,Transfer,288.38,1804289383
34,1804289383,Withdraw,331.48,
34,1681692777,Deposit,188.20,
37,846930886,Transfer,904.93,1681692777
38,1714636915,Withdraw,273.91,
40,1804289383,Withdraw,603.11,
40,1714636915,Withdraw,492.42,
41,846930886,Withdraw,121.26,
41,1681692777,Transfer,360.44,1714636915
44,1804289383,Transfer,363.60,846930886
44,1681692777,Deposit,288.27,
44,1714636915,Withdraw,331.39,
45,1714636915,Transfer,761.78,846930886
46,1804289383,Withdraw,207.84,
47,1714636915,Transfer,729.36,846930886
48,1714636915,Withdraw,410.79,
49,1804289383,Transfer,449.11,1714636915
49,846930886,Withdraw,986.47,
50,1804289383,Transfer,382.90,846930886
50,1714636915,Deposit,301.76,
51,846930886,Withdraw,457.72,
51,1681692777,Deposit,780.87,
51,1714636915,Deposit,692.08,
52,1804289383,Withdraw,595.05,
53,1714636915,Withdraw,609.73,
54,1681692777,Transfer,98.84,1714636915
55,1804289383,Withdraw,290.83,
55,1681692777,Transfer,878.28,846930886
56,1681692777,Deposit,778.26,
56,1714636915,Transfer,308.16,846930886
57,1804289383,Withdraw,782.26,
57,1681692777,Withdraw,719.46,
58,1714636915,Transfer,154.72,1681692777
59,1804289383,Deposit,737.41,
61,1714636915,Deposit,532.96,
63,1714636915,Withdraw,32.89,
64,846930886,Withdraw,567.83,
65,1804289383,Transfer,879.01,846930886
65,1714636915,Withdraw,653.30,
66,846930886,Withdraw,828.96,
66,1681692777,Withdraw,675.65,
67,1804289383,Withdraw,547.40,
68,846930886,Transfer,494.41,1681692777
72,1681692777,Withdraw,865.09,
74,846930886,Withdraw,700.91,
74,1714636915,Deposit,518.15,
75,846930886,Withdraw,48.50,
76,1714636915,Withdraw,413.08,
77,846930886,Deposit,812.95,
78,1714636915,Deposit,74.26,
79,846930886,Transfer,737.94,1681692777
81,1714636915,Transfer,466.17,1681692777
82,846930886,Withdraw,766.45,
83,1804289383,Transfer,560.78,1714636915
84,846930886,Withdraw,653.88,
85,1804289383,Transfer,199.00,846930886
85,1714636915,Withdraw,646.52,
86,1681692777,Deposit,563.62,
87,1804289383,Deposit,601.43,
87,1681692777,Deposit,770.69,
88,846930886,Withdraw,795.23,
89,846930886,Withdraw,366.03,
89,1681692777,Transfer,272.99,1804289383
90,1804289383,Withdraw,924.54,
91,1804289383,Transfer,126.67,1714636915
91,846930886,Withdraw,227.55,
92,1804289383,Deposit,648.55,
92,846930886,Withdraw,915.22,
92,1681692777,Withdraw,100.86,
93,1804289383,Deposit,293.18,
94,1681692777,Withdraw,431.84,
94,1714636915,Deposit,813.90,
95,1681692777,Deposit,200.95,
97,1804289383,Deposit,681.92,
98,1681692777,Transfer,591.11,846930886
99,1804289383,Withdraw,589.12,
99,846930886,Withdraw,58.05,
99,1681692777,Transfer,56.02,1714636915
100,846930886,Transfer,476.35,1681692777
100,1714636915,Withdraw,815.55,
101,1714636915,Transfer,633.58,846930886
102,1804289383,Deposit,522.63,
102,1714636915,Transfer,307.17,846930886
103,1681692777,Transfer,759.21,1714636915
104,846930886,Deposit,600.76,
105,1714636915,Transfer,73.24,1804289383
107,1714636915,Deposit,23.86,
109,1804289383,Withdraw,84.41,
109,1714636915,Deposit,244.86,
110,846930886,Deposit,166.09,
111,1681692777,Deposit,736.46,
112,846930886,Deposit,101.48,
113,1804289383,Transfer,937.71,846930886
113,1681692777,Deposit,760.86,
116,1804289383,Deposit,114.46,
116,1681692777,Withdraw,880.68,
117,1804289383,Transfer,768.21,1681692777
118,1804289383,Deposit,452.65,
118,1714636915,Transfer,308.25,846930886
119,1804289383,Deposit,84.18,
119,1681692777,Withdraw,780.25,
120,1714636915,Deposit,47.18,
121,1804289383,Withdraw,596.19,
121,1681692777,Withdraw,638.41,
123,1804289383,Transfer,807.96,1714636915
126,846930886,Deposit,139.00,
127,1804289383,Withdraw,184.03,
128,846930886,Withdraw,479.78,
128,1714636915,Withdraw,270.32,
129,1804289383,Transfer,778.46,1681692777
129,1714636915,Transfer,674.00,846930886
