Tic, Event
63,New Customer: 1404546901 joined
105,New Customer: 887686109 joined
159,New Customer: 283660746 joined
175,Customer 887686109: Left
245,New Customer: 1953638483 joined
303,New Customer: 1361433599 joined
458,New Customer: 678168202 joined
459,New Customer: 1749216543 joined
568,New Customer: 1557409205 joined
577,Customer 1404546901: Left
609,Customer 283660746: Left
619,New Customer: 386585186 joined
691,New Customer: 518842292 joined
694,New Customer: 1224151488 joined
773,New Customer: 904359067 joined
787,New Customer: 378582182 joined
790,Customer 605291816: Left
793,New Customer: 469658219 joined
800,Customer 386585186: Left
859,Customer 378582182: Left
885,Customer 1749216543: Left
928,Customer 1361433599: Left
993,New Customer: 449920333 joined
1005,Customer 469658219: Left
1033,Customer 1224151488: Left
1059,Customer 518842292: Left
1070,Customer 449920333: Left
1095,Customer 904359067: Left
1140,New Customer: 1098676782 joined
1153,New Customer: 2041459788 joined
1258,Customer 678168202: Left
1287,Customer 2041459788: Left
1343,Customer 1557409205: Left
1347,New Customer: 1437381479 joined
1376,Customer 1098676782: Left
1408,Customer 1437381479: Left
1411,Customer 1953638483: Left
1450,New Customer: 347330476 joined
1489,Customer 347330476: Left
1545,New Customer: 747530869 joined
1553,New Customer: 1238407388 joined
1572,Customer 747530869: Left
1592,Customer 1238407388: Left
1611,New Customer: 1901418274 joined
1626,Customer 1901418274: Left
1750,New Customer: 1033984323 joined
1831,Customer 1033984323: Left
1959,New Customer: 1854151489 joined
2028,New Customer: 1154806422 joined
2053,New Customer: 1339892115 joined
2087,Customer 1154806422: Left
2097,Customer 1339892115: Left
2155,New Customer: 869492871 joined
2262,Customer 869492871: Left
2319,Customer 1854151489: Left
2413,New Customer: 1295645368 joined
2422,New Customer: 2021088442 joined
2475,Customer 2021088442: Left
2488,New Customer: 690274520 joined
2508,Customer 1295645368: Left
2523,Customer 690274520: Left
2592,New Customer: 460909916 joined
2631,New Customer: 98057506 joined
2647,New Customer: 1430484957 joined
2658,Customer 1430484957: Left
2669,Customer 98057506: Left
2756,Customer 460909916: Left
2768,New Customer: 1694439658 joined
2789,New Customer: 933981495 joined
2791,Customer 933981495: Left
2848,New Customer: 1861290913 joined
2849,New Customer: 1178087191 joined
2864,Customer 1694439658: Left
2915,New Customer: 1254867273 joined
2957,New Customer: 1370832664 joined
3070,Customer 1861290913: Left
3078,Customer 1254867273: Left
